Library,month,issues
http://datadock.io/kal/data/id/resource/library/City,2013-11,26288
http://datadock.io/kal/data/id/resource/library/City,2013-12,21563
http://datadock.io/kal/data/id/resource/library/City,2014-01,27279
http://datadock.io/kal/data/id/resource/library/City,2014-02,24654
http://datadock.io/kal/data/id/resource/library/City,2014-03,26158
http://datadock.io/kal/data/id/resource/library/City,2014-04,24088
http://datadock.io/kal/data/id/resource/library/City,2014-05,24451
http://datadock.io/kal/data/id/resource/library/City,2014-06,20426
http://datadock.io/kal/data/id/resource/library/City,2014-07,22796
http://datadock.io/kal/data/id/resource/library/City,2014-08,23461
http://datadock.io/kal/data/id/resource/library/City,2014-09,21478
http://datadock.io/kal/data/id/resource/library/City,2014-10,22948
http://datadock.io/kal/data/id/resource/library/City,2014-11,19398
http://datadock.io/kal/data/id/resource/library/City,2014-12,18172
http://datadock.io/kal/data/id/resource/library/City,2015-01,21581
http://datadock.io/kal/data/id/resource/library/City,2015-02,19400
http://datadock.io/kal/data/id/resource/library/City,2015-03,20425
http://datadock.io/kal/data/id/resource/library/City,2015-04,20125
http://datadock.io/kal/data/id/resource/library/City,2015-05,15559
http://datadock.io/kal/data/id/resource/library/City,2015-06,19809
http://datadock.io/kal/data/id/resource/library/City,2015-07,20976
http://datadock.io/kal/data/id/resource/library/City,2015-08,19365
http://datadock.io/kal/data/id/resource/library/City,2015-09,19449
http://datadock.io/kal/data/id/resource/library/City,2015-10,19246
http://datadock.io/kal/data/id/resource/library/City,2015-11,17124
http://datadock.io/kal/data/id/resource/library/City,2015-12,15250
http://datadock.io/kal/data/id/resource/library/City,2016-01,18596
http://datadock.io/kal/data/id/resource/library/City,2016-02,17885
http://datadock.io/kal/data/id/resource/library/City,2016-03,17467
http://datadock.io/kal/data/id/resource/library/City,2016-04,17682
http://datadock.io/kal/data/id/resource/library/City,2016-05,16301
http://datadock.io/kal/data/id/resource/library/City,2016-06,17180
http://datadock.io/kal/data/id/resource/library/City,2016-07,17852
http://datadock.io/kal/data/id/resource/library/City,2016-08,18975
http://datadock.io/kal/data/id/resource/library/City,2016-09,16708
http://datadock.io/kal/data/id/resource/library/City,2016-10,17315
http://datadock.io/kal/data/id/resource/library/City,2016-11,14784
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-04,1477
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-05,1457
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-06,1377
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-07,1697
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-08,1749
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-09,1522
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-10,1563
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-11,1498
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-12,909
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-01,1566
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-02,1352
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-03,1267
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-04,1517
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-05,1023
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-06,1281
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-07,1164
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-08,1085
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-09,1227
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-10,1111
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-11,1144
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-12,1119
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-01,1252
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-02,1191
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-03,1200
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-04,1218
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-05,841
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-06,1120
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-07,1145
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-08,1239
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-09,997
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-10,929
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-11,1232
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-12,682
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-01,1101
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-02,939
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-03,1240
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-04,931
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-05,999
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-06,1141
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-07,1033
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-08,1404
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-09,1217
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-10,1104
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-11,1151
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-12,958
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-01,1081
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-02,878
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-03,1149
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-04,954
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-05,930
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-06,990
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-07,1064
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-08,948
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-09,762
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-10,748
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-11,939
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-12,539
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-01,761
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-02,751
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-03,655
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-04,684
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-05,693
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-06,391
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-07,10
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-08,27
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-10,5
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-11,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-12,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-04,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-05,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-06,311
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-07,676
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-08,803
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-09,574
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-10,577
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-11,503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-12,308
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-01,503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-02,544
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-03,526
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-04,456
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-05,272
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-06,546
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-07,475
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-08,507
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-09,587
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-10,410
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-11,465
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-12,278
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-01,511
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-02,295
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-03,358
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-04,437
