Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/City,2014-03,28436
http://datadock.io/kal/data/id/resource/library/City,2014-04,25272
http://datadock.io/kal/data/id/resource/library/City,2014-05,24588
http://datadock.io/kal/data/id/resource/library/City,2014-06,19328
http://datadock.io/kal/data/id/resource/library/City,2014-07,25119
http://datadock.io/kal/data/id/resource/library/City,2014-08,27282
http://datadock.io/kal/data/id/resource/library/City,2014-09,27953
http://datadock.io/kal/data/id/resource/library/City,2014-10,26721
http://datadock.io/kal/data/id/resource/library/City,2014-11,22757
http://datadock.io/kal/data/id/resource/library/City,2014-12,20399
http://datadock.io/kal/data/id/resource/library/City,2015-01,28706
http://datadock.io/kal/data/id/resource/library/City,2015-02,25256
http://datadock.io/kal/data/id/resource/library/City,2015-03,29303
http://datadock.io/kal/data/id/resource/library/City,2015-04,25225
http://datadock.io/kal/data/id/resource/library/City,2015-05,26915
http://datadock.io/kal/data/id/resource/library/City,2015-06,24712
http://datadock.io/kal/data/id/resource/library/City,2015-07,27914
http://datadock.io/kal/data/id/resource/library/City,2015-08,26709
http://datadock.io/kal/data/id/resource/library/City,2015-09,27160
http://datadock.io/kal/data/id/resource/library/City,2015-10,27137
http://datadock.io/kal/data/id/resource/library/City,2015-11,24922
http://datadock.io/kal/data/id/resource/library/City,2015-12,20414
http://datadock.io/kal/data/id/resource/library/City,2016-01,24416
http://datadock.io/kal/data/id/resource/library/City,2016-02,26379
http://datadock.io/kal/data/id/resource/library/City,2016-03,23090
http://datadock.io/kal/data/id/resource/library/City,2016-04,23967
http://datadock.io/kal/data/id/resource/library/City,2016-05,21904
http://datadock.io/kal/data/id/resource/library/City,2016-06,14326
http://datadock.io/kal/data/id/resource/library/City,2016-07,25586
http://datadock.io/kal/data/id/resource/library/City,2016-08,23810
http://datadock.io/kal/data/id/resource/library/City,2016-09,23526
http://datadock.io/kal/data/id/resource/library/City,2016-10,24223
http://datadock.io/kal/data/id/resource/library/City,2016-11,22628
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-05,815
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-06,815
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-07,815
